ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28751,MAGGIE VALLEY,Maggie Valley,NC,HAYWOOD,Haywood,35.514344,-83.11087
28752,MARION,Marion,NC,MCDOWELL,Mcdowell,35.738921,-82.049676
28753,MARSHALL,Marshall,NC,MADISON,Madison,35.880346,-82.703324
28754,MARS HILL,Mars Hill,NC,MADISON,Madison,35.883083,-82.506865
28755,MICAVILLE,Micaville,NC,YANCEY,Yancey,35.91886,-82.211551
28756,MILL SPRING,Mill Spring,NC,POLK,Polk,35.335904,-82.164235
28757,MONTREAT,Montreat,NC,BUNCOMBE,Buncombe,35.650341,-82.299689
28758,MOUNTAIN HOME,Mountain Home,NC,HENDERSON,Henderson,35.376148,-82.494136
28759,MILLS RIVER,Mills River,NC,HENDERSON,Henderson,35.373951,-82.59792
28760,NAPLES,Naples,NC,HENDERSON,Henderson,35.3927,-82.5006
28761,NEBO,Nebo,NC,MCDOWELL,Mcdowell,35.686899,-81.915453
28762,OLD FORT,Old Fort,NC,MCDOWELL,Mcdowell,35.627437,-82.192988
28763,OTTO,Otto,NC,MACON,Macon,35.046113,-83.404638
28765,PENLAND,Penland,NC,MITCHELL,Mitchell,35.936027,-82.111198
28766,PENROSE,Penrose,NC,TRANSYLVANIA,Transylvania,35.26116,-82.624363
28768,PISGAH FOREST,Pisgah Forest,NC,TRANSYLVANIA,Transylvania,35.285473,-82.695061
28770,RIDGECREST,Ridgecrest,NC,BUNCOMBE,Buncombe,35.6209,-82.2829
28771,ROBBINSVILLE,Robbinsville,NC,GRAHAM,Graham,35.341744,-83.847258
28772,ROSMAN,Rosman,NC,TRANSYLVANIA,Transylvania,35.130764,-82.84309
28773,SALUDA,Saluda,NC,POLK,Polk,35.253586,-82.321447
28774,SAPPHIRE,Sapphire,NC,TRANSYLVANIA,Transylvania,35.094063,-83.003242
28775,SCALY MOUNTAIN,Scaly Mountain,NC,MACON,Macon,35.024245,-83.322908
28776,SKYLAND,Skyland,NC,BUNCOMBE,Buncombe,35.4892,-82.5246
28777,SPRUCE PINE,Spruce Pine,NC,MITCHELL,Mitchell,35.90612,-82.067116
28778,SWANNANOA,Swannanoa,NC,BUNCOMBE,Buncombe,35.628148,-82.406266
